,Item Categorisation,,,,,,,,,,,,,,,,,,,,,,,,
1,PizzaExpress,Family Pasta Feast,Italian,Pasta,"Lasagne, Penne","Beef, Chicken, Tomato",,,,Beef,Chicken,Tomato,,,,,,,,,,,,,
1,PizzaExpress,Family Favourites Feast,Italian,Pasta,"Lasagne, Penne","Beef, Chicken, Tomato",,,,Beef,Chicken,Tomato,,,,,,,,,,,,,
1,Prezzo,Super Veg Bolognese Rigatoni,Italian,Pasta,Bolognese,Beef,,,,Beef,,,,,,,,,,,,,,,
1,Prezzo,Super Green Pesto Rigatoni,Italian,Pasta,Rigatoni,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Prezzo,Marinara & Hidden Veg Rigatoni,Italian,Pasta,Rigatoni,Tomato,,,,Tomato,,,,,,,,,,,,,,,
1,Prezzo,Family Dinneroo,Italian,Pasta,"Rigatoni, Carbonara","Tomato, Chicken, Pork",,,,Tomato,Chicken,Pork,,,,,,,,,,,,,
1,SOYO-SGroup,Family Rose Pasta Bake,Italian,Pasta,Pasta Bake,Tomato,,,,Tomato,,,,,,,,,,,,,,,
1,SOYO-SGroup,Family Pasta Bake,Italian,Pasta,Pasta Bake,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Pho,Pho the whole fam,Asian,Pho,Pho,"Chicken, Beef, Tofu, Mushroom",Note: Multiple options for kids,,,Chicken,Beef,Tofu,Mushroom,,,,,,,,,,,,
1,Milano,Family Favourites Feast,Italian,Pizza,Pizza,Pork,,,,Pork,,,,,,,,,,,,,,,
1,Milano,Family Pizza Feast,Italian,Pizza,Pizza,Pork,,,,Pork,,,,,,,,,,,,,,,
1,PizzaExpress,Family Favourites Feast,Italian,Pizza,Pizza,Pork,,,,Pork,,,,,,,,,,,,,,,
1,PizzaExpress,Family Pizza Feast,Italian,Pizza,Pizza,Pork,,,,Pork,,,,,,,,,,,,,,,
1,Prezzo,Family Dinneroo,Italian,Pizza,Pizza,Pork,,,,Pork,,,,,,,,,,,,,,,
1,Zaatar Rathmines,Pizza Feast ( Cheese & Zaatar manaeesh + Margharita pizza + hummus + tabouleh),Middle Eastern,Other,Other,Vegetarian,,,,Vegetarian,,,,,,,,,,,,,,,
1,Itsu,poke’bowl family selection,Asian,Poke,Poke,"Salmon, Chicken, Prawn",,,,Salmon,Chicken,Prawn,,,,,,,,,,,,,
1,Cocotte,Family Feast One,Healthy,Protein & Veg ,Protein & Veg ,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Cocotte,Family Feast Two,Healthy,Protein & Veg ,Protein & Veg ,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Cocotte,Family Veggie Feast,Healthy,Protein & Veg ,Protein & Veg ,PB Chicken,,,,PB Chicken,,,,,,,,,,,,,,,
1,Shaku Maku,Grill & Mezze Family Feast (Grilled Chicken + chicken rolls + fatoush salad + hummus + baba ghanoush with bread and rice),Middle Eastern,Protein & Veg ,Protein & Veg ,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Asian,Rice Bowl,Teriyaki Rice Bowl,"Chicken, Tofu",,,,Chicken,Tofu,,,,,,,,,,,,,,
1,Banana Tree,🍛Teriyaki Rice Bowl Bundle For Four,Asian,Rice Bowl,Teriyaki Rice Bowl,"Chicken, Tofu",,,,Chicken,Tofu,,,,,,,,,,,,,,
1,Banana Tree,🍛Firecracker Chicken Rice Bowl Bundle For Four🌶️🌶️,Asian,Rice Bowl,Other Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Asian,Rice Bowl,Other Rice Bowl,Chicken,Note: Multiple options for kids,,,Chicken,,,,,,,,,,,,,,,
1,Itsu,hot faves family bundle,Asian,Rice Bowl,"Thai Rice Bowl, Teriyaki Rice Bowl",Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Itsu,little rice'bowls family bundle,Asian,Rice Bowl,"Thai Rice Bowl, Teriyaki Rice Bowl",Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Kokoro,Kokoro Family Bundle,Asian,Rice Bowl,"Teriyaki Rice Bowl, Sweet Chilli Rice Bowl, Sweet & Sour Rice Bowl, Korean Chilli Rice Bowl",Chicken,,,,Chicken,,,,,,,,,,,,,,,
0,Kokoro,KOKORO Family Bundle,Asian,Rice Bowl,"Teriyaki Rice Bowl, Sweet Chilli Rice Bowl, Sweet & Sour Rice Bowl, Korean Chilli Rice Bowl",Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,LEON,Big Bundle for 4,Healthy,Grain Bowl,Grain Bowl,"Falafal, Black Bean, Chicken",,,,Falafel,Black Bean,Chicken,,,,,,,,,,,,,
1,LEON,Family Favourites Feast,Healthy,Grain Bowl,Grain Bowl,"Falafal, Black Bean, Chicken",,,,Falafel,Black Bean,Chicken,,,,,,,,,,,,,
1,Pho,Fresh from the wok,Asian,Rice Bowl,Other Rice Bowl,"Tofu & Grilled Veg, Chicken",Note: Multiple options for kids,,,Tofu & Grilled Veg,Chicken,,,,,,,,,,,,,,
1,Taste Of Hong Kong-DCN,纯肉双拼家庭套餐，含2炒饭+青菜+3小笼包,Asian,Rice Bowl,Other Rice Bowl,"Duck, Pork, Chicken",,,,Duck,Pork,Chicken,,,,,,,,,,,,,
0,Taste Of Hong Kong-DCN,纯肉双拼家庭套餐，含2炒饭+4小笼包,Asian,Rice Bowl,Other Rice Bowl,"Duck, Pork, Chicken",,,,Duck,Pork,Chicken,,,,,,,,,,,,,
0,Taste Of Hong Kong-DCN,纯肉双拼家庭套餐，含2炒饭+2烧麦,Asian,Rice Bowl,Other Rice Bowl,"Duck, Pork, Chicken",,,,Duck,Pork,Chicken,,,,,,,,,,,,,
1,TUK TUK-SGroup,Korean Bulgogi and Steamed Rice,Asian,Rice Bowl,Other Rice Bowl,Beef,,,,Beef,,,,,,,,,,,,,,,
1,Xian Street Food,Honey Chicken Family Meal (Honey Chicken (main) + Curry Chicken + Fried Rice + boiled rice ),Asian,Rice Bowl,Other Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Sweet and Sour Chicken Family Meal,Asian,Rice Bowl,Sweet & Sour Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal ( Honey Chicken (main) + Fried Rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),Asian,Rice Bowl,Other Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal  ( Honey Chicken (main) + Fried Rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),Asian,Rice Bowl,Other Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Sweet and Sour Chicken Family Meal (Sweet and Sour Chicken +  Boiled rice + Dumpling + 4 in 1),Asian,Rice Bowl,Sweet & Sour Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Ultimate Tofu Platter (Crispy Tofu + Curry Tofu (main) + Boiled Rice + Tofu 4 in 1),Asian,Rice Bowl,Other Rice Bowl,Tofu,,,,Tofu,,,,,,,,,,,,,,,
1,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal (Honey Chicken (main) + Fried Rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),Asian,Rice Bowl,Other Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Honey Chicken Family Meal (Honey Chicken (main) + Curry Chicken + Fried Rice + Boiled Rice),Asian,Rice Bowl,Other Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Xian Street Food,Honey Chicken Family Meal ( Honey Chicken (main) + Curry Chicken + Fried Rice + Boiled Rice ),Asian,Rice Bowl,Other Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Zambrero UK,Family Rice Bowl Kit,Mexican,Burrito / Burrito Bowl,Burrito / Burrito Bowl,"Beef, Chicken",,,,Beef,Chicken,,,,,,,,,,,,,,
1,Zumuku,Rice Bowl - Salmon Teriyaki,Asian,Rice Bowl,Teriyaki Rice Bowl,Salmon,,,,Salmon,,,,,,,,,,,,,,,
1,Zumuku,Rice Bowl - Chicken Teriyaki,Asian,Rice Bowl,Teriyaki Rice Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,The Salad Project,The Caesar Family Style,Healthy,Grain Bowl,Grain Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,The Salad Project,The GOAT Family Style,Healthy,Grain Bowl,Grain Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,The Salad Project,The Satay Family Style,Healthy,Grain Bowl,Grain Bowl,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Bill's,Family Chicken Shawarma,Middle Eastern,Shawarma,Shawarma,Chicken,,,,Chicken,,,,,,,,,,,,,,,
1,Bill's,Family Halloumi Shawarma,Middle Eastern,Shawarma,Shawarma,Halloumi,,,,Halloumi,,,,,,,,,,,,,,,
1,Bill's,Family Shiitake Mushroom Shawarma,Middle Eastern,Shawarma,Shawarma,Mushroom,,,,Mushroom,,,,,,,,,,,,,,,
