,Top Items by Rx,,,,,,,
,,,,,,,,
,,,,,,,,
,Source,https://deliveroo.looker.com/explore/general/denormalised_items?qid=bOVMdZQRGnuvbnyvlrxHxe&toggle=fil,,,,,,
,,,,,,,,
,Salesforce Sf Global Brand,Menu items Menu Item Operational Name,Restaurant Information Restaurant Name,Key Fields Restaurant ID,"Common Business Segments Orders count (delivered, rejected, cancelled, et al.)",,,Dish
,Itsu,sushi family feast,itsu - Oxford Cornmarket Street,26010,80,,,Sushi
,Pho,Pho the whole fam,Pho - Cheltenham,437862,80,,,Pho
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Bracknell,585961,80,,,Rice Bowl
,Pho,Fresh from the wok,Pho - Bristol,20132,78,,,Fried Rice
,Pho,Fresh from the wok,Pho - Editions - CRE,266756,78,,,Fried Rice
,Wagamama,family chicken katsu,Wagamama - Staines - 230,99851,77,,,Katsu
,Pho,It's a curry night,Pho - Battersea,475,77,,,East Asian Curry
,Itsu,sushi family feast,itsu - Stall Street,365034,77,,,Sushi
,Wagamama,family chicken katsu,Wagamama - Oxford - 152,11977,77,,,Katsu
,Pho,Pho the whole fam,Pho - Balham,1213,75,,,Pho
,Pho,Fresh from the wok,Pho - Editions - BRC,409503,74,,,Fried Rice
,Itsu,sushi family feast,itsu - St Albans,354258,74,,,Sushi
,Wagamama,family chicken katsu,Wagamama - Wandsworth - 195,12419,74,,,Katsu
,Pho,It's a curry night,Pho - Cardiff,195214,74,,,East Asian Curry
,Pho,It's a curry night,Pho - Wimbledon,35290,74,,,East Asian Curry
,Pho,Pho the whole fam,Pho - Liverpool,50407,73,,,Pho
,Pho,Fresh from the wok,Pho - Greenwich,666157,72,,,Fried Rice
,Cocotte,Family Feast Two,Cocotte - Westbourne,16734,72,,,Protein & Veg 
,Pho,It's a curry night,Pho - Chiswick,770,72,,,East Asian Curry
,Dishoom,Dishoom Mattar Paneer – for the family,Dishoom - Editions - BER,315972,72,,,South Asian / Indian Curry
,Wagamama,family chicken katsu,Wagamama - Brent Cross - 125,12404,72,,,Katsu
,Pho,It's a curry night,Pho - Ealing,8567,71,,,East Asian Curry
,Wagamama,family chicken katsu,Wagamama - Camden - 105,8310,71,,,Katsu
,Farmer J,Family Chicken Dinner,Farmer J - Fenchurch Street,194816,70,,,Grain Bowl
,Farmer J,Mix & Match Family Dinner,Farmer J - Farringdon,692260,70,,,Grain Bowl
,Giggling Squid,Family Thai Curry Bundle,Giggling Squid - Farnham,184452,69,,,East Asian Curry
,Wagamama,family chicken katsu,Wagamama - Reigate - 244,88924,69,,,Katsu
,Pho,It's a curry night,Pho - Sheffield,224574,69,,,East Asian Curry
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113014 - Banana Tree Thai, Vietnamese, Vegan - Windsor",575909,68,,,Noodles
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Cheltenham,147452,68,,,Rice Bowl
,Wagamama,family chicken katsu,Wagamama - Cardiff Library - 165,12185,68,,,Katsu
,Pho,It's a curry night,Pho - Guildford,83905,68,,,East Asian Curry
,Wagamama,family chicken katsu,Wagamama - Tunbridge Wells - 127,167614,68,,,Katsu
,Giggling Squid,Family Thai Curry Bundle,Giggling Squid - Cambridge,273639,67,,,East Asian Curry
,Wagamama,family chicken katsu,Wagamama - Canterbury - 133,41183,67,,,Katsu
,Itsu,sushi family feast,itsu - Guildford,399487,67,,,Sushi
,Itsu,sushi family feast,itsu - Brighton North Street,26654,66,,,Sushi
,Pho,Fresh from the wok,Pho - Norwich,638624,66,,,Fried Rice
,Pho,It's a curry night,Pho - Nottingham,406930,66,,,East Asian Curry
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Weybridge,227152,65,,,Rice Bowl
,Pho,It's a curry night,Pho - Oxford,65830,65,,,East Asian Curry
,Pho,It's a curry night,Pho - Glasgow,611327,65,,,East Asian Curry
,Wagamama,family chicken katsu,Wagamama - North Greenwich o2 - 172,12389,65,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Leamington Spa - 185,21013,64,,,Katsu
,Pho,Fresh from the wok,Pho - Reading,60050,64,,,Fried Rice
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113011 - Banana Tree Thai, Vietnamese, Vegan - London The O2",544614,64,,,Rice Bowl
,Giggling Squid,Family Thai Curry Bundle,Giggling Squid - Chislehurst,184453,64,,,East Asian Curry
,Asia Villa,4x Asia Villa Special Fried Rice with Salt and Pepper Chicken,Asia Villa - Canary Wharf,133182,64,,,Fried Rice
,Wagamama,family chicken katsu,Wagamama - Horsham - 174,41193,64,,,Katsu
,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"3113010 - Banana Tree Thai, Vietnamese, Vegan - Covent Garden",528160,64,,,Rice Bowl
,Wagamama,family chicken katsu,Wagamama - Bristol Cribbs Causeway - 198,233964,64,,,Katsu
,Cocotte,Family Feast Two,Cocotte - South Kensington,354631,63,,,Protein & Veg 
,Dishoom,Dishoom Mattar Paneer – for the family,Dishoom - Editions - WME,233074,63,,,South Asian / Indian Curry
,Dishoom,Dishoom Mattar Paneer – for the family,Dishoom - Editions - BRC,614147,63,,,South Asian / Indian Curry
,Pho,Pho the whole fam,Pho - Soho,8359,63,,,Pho
,Farmer J,Mix & Match Family Dinner,Farmer J - London Bridge,436017,62,,,Grain Bowl
,Pho,Pho the whole fam,Pho - Leeds,2702,62,,,Pho
,Wagamama,family chicken katsu,Wagamama - Stevenage - 253,183209,62,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Clink Street - 137,8317,61,,,Katsu
,Dishoom,Dishoom Mattar Paneer – for the family,Dishoom - Editions - BCP,259052,61,,,South Asian / Indian Curry
,Dishoom,Dishoom Mattar Paneer – for the family,Dishoom - Editions - SWC,233073,60,,,South Asian / Indian Curry
,Wagamama,family chicken katsu,Wagamama - Watford Woodside - 294,634625,60,,,Katsu
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Brighton,10035,60,,,Rice Bowl
,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,Jakob's Kitchen - Editions - ACT,377439,60,,,Grain Bowl
,Banana Tree,🍜Pad Thai Bundle For Four🍜,3113021 - Banana Tree Thai Vietnamese Vegan - Stevenage,647418,59,,,Noodles
,Wagamama,family chicken katsu,Wagamama - Birmingham New Street - 218,4281,59,,,Katsu
,Pho,Fresh from the wok,Pho - York,482052,59,,,Fried Rice
,Wagamama,family chicken katsu,Wagamama - York City Centre - 182,6683,59,,,Katsu
,Farmer J,Mix & Match Family Dinner,Farmer J - Fenchurch Street,194816,58,,,Grain Bowl
,Pho,It's a curry night,Pho - Spitalfields,1023,58,,,East Asian Curry
,Pho,Fresh from the wok,Pho - Ealing,8567,58,,,Fried Rice
,Pho,Fresh from the wok,Pho - Canary Wharf,515404,58,,,Fried Rice
,Wagamama,family chicken katsu,Wagamama - Wembley - 205,20032,57,,,Katsu
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113013 - Banana Tree Thai, Vietnamese, Vegan - Reigate",549925,57,,,Noodles
,PizzaExpress,Family Favourites Feast,0541 - Colchester - St Runwald Street - PizzaExpress,55045,57,,,Pasta
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Kingston,109661,57,,,Rice Bowl
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113009 - Banana Tree Thai, Vietnamese, Vegan - Chelmsford",65811,56,,,Noodles
,Wagamama,family chicken katsu,Wagamama - Glasgow Silverburn - 155,14358,56,,,Katsu
,Wagamama,family chicken katsu,Wagamama - Sheffield City Centre - 159,7694,56,,,Katsu
,Saravana Bhavan,Saravana Bhavan Family Bundle,Saravana Bhavan - Ilford,214490,56,,,South Asian / Indian Curry
,Farmer J,Mix & Match Family Dinner,Farmer J - St James's Park,293084,56,,,Grain Bowl
,Pho,It's a curry night,Pho - Lothian Road,672852,56,,,East Asian Curry
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Esher,42828,56,,,Rice Bowl
,Cocotte,Family Feast One,Cocotte - Westbourne,16734,56,,,Protein & Veg 
,Itsu,sushi family feast,itsu - Jubilee Place,72630,55,,,Sushi
,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,Giggling Squid - Hove,32599,55,,,Rice Bowl
,Pho,Fresh from the wok,Pho - Cardiff,195214,55,,,Fried Rice
,Banana Tree,🍜Pad Thai Bundle For Four🍜,"3113011 - Banana Tree Thai, Vietnamese, Vegan - London The O2",544614,55,,,Noodles
,Wagamama,family chicken katsu,Wagamama - Cheltenham - 242,66507,54,,,Katsu
,Dishoom,Awadhi Jackfruit Biryani – for the family,Dishoom - Editions - BLW,275291,54,,,Biryani
,Wagamama,family chicken katsu,Wagamama - Nottingham West Bridgford - 265,393248,54,,,Katsu
,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,Jakob's Kitchen - Editions - WHI,519018,54,,,Grain Bowl
