,Order Ratings,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Source,"https://deliveroo.looker.com/explore/general/denormalised_items?qid=UmJupobT7qqc29ZvPmg6AI&toggle=fil,vis",,,,,,,,,,
,,,,,,,,,,,,
,Sf Global Brand,Menu Item Operational Name,"Orders count (delivered, rejected, cancelled, et al.)",Orders rating - avg,Orders with a rating - cnt,Orders with a rating - %,,,,Dish Categorisation 1,Dish Categorisation 2,Dish Categorisation 3
,Chaska,"Chicken Biryani For The Table ( 2portions Chicken Biryani served with Dal, Raita and Papads )",49,3.45,11,0.23,,37.95,,Biryani,,
,Prezzo,Super Veg Bolognese Rigatoni,74,3.21,14,0.19,,44.94,,Pasta,,
,Las Iguanas,Chilli Bundle for Four,50,3.2,10,0.21,,32,,Chilli,,
,Bella Italia,Mac & Cheese Family Bundle,41,3.13,8,0.2,,25.04,,Pasta,,
,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal  ( Honey Chicken (main) + Fried rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),27,3,2,0.07,,6,,Rice Bowl,,
,Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal (Honey Chicken (main) + Fried rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),9,3,2,0.22,,6,,Rice Bowl,,
,Chaska,Chicken Biryani For The Table,18,3,4,0.22,,12,,Biryani,,
,Asia Villa,4x Family Style Egg Fried Noodle with Korean Chicken,30,3,3,0.1,,9,,Noodles,,
,Prezzo,Marinara & Hidden Veg Rigatoni,32,2.4,5,0.16,,12,,Pasta,,
,Iro Sushi,Veggie Wok Party,21,2.33,3,0.16,,6.99,,Noodles,,
,Milano,Family Pizza Feast,24,1.8,5,0.21,,9,,Pizza,,
,Zumuku,Chicken Yakisoba,4,1,1,0.25,,1,,Noodles,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Itsu,little rice'bowls family bundle,80,4.78,9,0.12,,43.02,,Rice Bowl,,
,Pho,Fresh from the wok,"2,025",4.56,313,0.16,,1427.28,,Noodles,,
,Pho,Fresh from the wok,"2,025",4.56,313,0.16,,1427.28,,Rice Bowl,,
,Tula Ireland,"Tula Main, Tula Nachos & Kids Quesadilla Family Dinneroo Feast",10,4.5,2,0.2,,9,,Tacos,,
,Kokoro,Kokoro Family Bundle,262,4.45,22,0.08,,97.9,,Noodles,,
,Kokoro,Kokoro Family Bundle,262,4.45,22,0.08,,97.9,,Rice Bowl,,
,PizzaExpress,Family Favourites Feast,"2,802",4.17,376,0.14,,1567.92,,Pizza,,
,Kokoro,KOKORO Family Bundle,1,4,1,1,,4,,Noodles,,
,Kokoro,KOKORO Family Bundle,1,4,1,1,,4,,Rice Bowl,,
,Milano,Family Favourites Feast,163,4,28,0.17,,112,,Pizza,,
,Las Iguanas,Mixed Bundle For Four,243,3.98,42,0.18,,167.16,,Fajitas,,
,Prezzo,Family Dinneroo,80,3.86,7,0.09,,27.02,,Pizza,,
,Itsu,hot faves family bundle,382,3.84,63,0.17,,241.92,,Noodles,,
,Itsu,hot faves family bundle,382,3.84,63,0.17,,241.92,,Rice Bowl,,
,Tula Ireland,"Tula Main, Quesadilla, Kids Quesadilla, Bag of Corn Tortilla Chips & Dip",12,3.67,3,0.25,,11.01,,Tacos,,
