,Top Items by Rx Zone,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,https://deliveroo.looker.com/explore/general/denormalised_items?qid=Ghs6zuJE4cqOFV4A0zCCRB&toggle=fil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Salesforce Sf Global Brand,Menu items Menu Item Operational Name,Location Zone Code,"Common Business Segments Orders count (delivered, rejected, cancelled, et al.)",Updated count,,,,Count dish,Ranked 1,,,Dish,Count dish type,Ranked 1,Ranked 2,Ranked 3,Ranked 4,Ranked 5,,,,,% Ranked 1,% Ranked 5
132,Pho,Pho the whole fam,SCC,98,98.000132,1,1SCC,,43,24,56%,,Pho,43,24,8,5,5,1,,,,Pho,56%,100%
133,Wagamama,family chicken katsu,CLM,97,97.000133,2,2CLM,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
134,Yacob's Kitchen,Chicken Shawarma Dinneroo Platter,EC,97,97.000134,4,4EC,,7,1,14%,,Grain Bowl,102,4,6,1,4,3,,,,Grain Bowl,4%,18%
135,Cocotte,Family Feast One,FUL,96,96.000135,2,2FUL,,5,1,20%,,Protein & Veg ,16,1,2,3,1,0,,,,Protein & Veg ,6%,44%
136,Pho,It's a curry night,MK,96,96.000136,4,4MK,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
137,Pho,Fresh from the wok,BRK,95,95.000137,8,8BRK,,129,0,0%,,Fried Rice,54,2,0,3,2,2,,,,Fried Rice,4%,17%
138,Wagamama,family chicken katsu,RIC,95,95.000138,1,1RIC,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
139,Wagamama,family chicken katsu,NHP,95,95.000139,3,3NHP,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
140,Pho,It's a curry night,CAM,95,95.00014,3,3CAM,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
141,Giggling Squid,Family Sticky Chicken/NO Chicken Bundle,GUI,94,94.000141,2,2GUI,,37,9,24%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
142,Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,STEV,94,94.000142,1,1STEV,,19,11,58%,,Rice Bowl,229,25,19,10,24,15,,,,Rice Bowl,11%,41%
143,Wagamama,family chicken katsu,EDN,93,93.000143,1,1EDN,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
144,Pho,Fresh from the wok,BNC,92,92.000144,7,7BNC,,129,0,0%,,Fried Rice,54,2,0,3,2,2,,,,Fried Rice,4%,17%
145,Wagamama,family chicken katsu,PUT,92,92.000145,1,1PUT,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
146,Wagamama,family chicken katsu,CW,91,91.000146,3,3CW,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
147,Banana Tree,🍜Pad Thai Bundle For Four🍜,ISL,91,91.000147,7,7ISL,,17,1,6%,,Noodles,143,3,9,11,12,18,,,,Noodles,2%,37%
148,Wagamama,family chicken katsu,SBU,90,90.000148,3,3SBU,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
149,Itsu,sushi family feast,CAM,89,89.000149,5,5CAM,,36,3,8%,,Sushi,36,3,8,4,1,4,,,,Sushi,8%,56%
150,Wagamama,family chicken katsu,CAM,89,89.00015,4,4CAM,,93,49,53%,,Katsu,302,56,20,25,9,15,,,,Katsu,19%,41%
151,Pho,It's a curry night,EDG,88,88.000151,2,2EDG,,43,1,2%,,East Asian Curry,331,3,32,32,20,15,,,,East Asian Curry,1%,31%
