,Zone X Dish Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAN,Canterbury,Canterbury,South East England,South England and Wales,7,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,13,13,0,0,6,3,1,,1,10,0,2,0,5,3,0,3,1,0,3,3,0,0,3,0,0,0,0,1,0,1,0,,36,TRUE,,17,10,5,0,0,3
,SAN,St Andrews,Fife & Perthshire,Scotland,Ireland and Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,TRUE,,0,0,0,0,0,0
,BAL,Balham,London,CL Heartland,Core London,14,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,26,4,7,8,3,3,0,,7,2,11,5,5,3,7,2,2,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,,51,TRUE,,36,7,2,0,3,3
,FLK,Folkestone,Canterbury,South East England,South England and Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,TRUE,,0,0,0,0,0,0
,KSHY,Kingsbury Green/ The Hyde,London,OL North,Greater London,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,9,4,4,0,0,0,0,,1,2,0,1,2,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,17,TRUE,,11,4,2,0,0,0
,MHW,Mahon West,Cork,Regional Ireland,Ireland and Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,TRUE,,0,0,0,0,0,0
,HOR,Horsham,Crawley,Commuter Belt South,Greater London,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,9,8,0,0,0,3,1,,1,6,0,0,0,6,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,,21,TRUE,,10,4,3,0,0,0
,FCH,Finsbury Park / Harringay / Crouch End,London,CL Grow,Core London,16,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,,32,4,10,8,3,3,0,,7,2,11,9,8,4,7,2,2,2,0,0,0,0,0,0,1,1,0,1,1,1,0,1,,60,TRUE,,43,7,2,0,3,3
,WEY,Weybridge,London,Commuter Belt South,Greater London,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,4,0,0,0,0,0,,2,2,0,2,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,TRUE,,11,2,2,0,0,0
,FAR,Fareham,Portsmouth,South West and Wales,South England and Wales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,TRUE,,1,1,2,0,0,0
