zone_code,zone_name,city,region,partner_count,asian_dishes,italian_dishes,indian_dishes,healthy_dishes,mexican_dishes,middle_eastern_dishes,british_dishes,total_dishes,cuisine_count,has_asian,has_italian,has_indian,has_healthy,has_mexican,has_middle_eastern,has_british
NORN,Norwich North,Norwich,South England and Wales,6,14,13,0,0,0,3,1,31,4,True,True,False,False,False,True,True
STAS,St Ann's,Nottingham,North England,8,14,18,0,0,6,3,1,42,5,True,True,False,False,True,True,True
CHEA,Cheadle,Manchester,North England,2,4,4,0,0,0,0,0,8,2,True,True,False,False,False,False,False
MK02,MK02,Milton Keynes,South England and Wales,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
WCH,Winchester,Southampton,South England and Wales,3,7,4,0,0,0,0,0,11,2,True,True,False,False,False,False,False
TAL,Tallaght,Dublin,Ireland and Scotland,2,11,4,0,0,0,0,0,15,2,True,True,False,False,False,False,False
WTV,Waterlooville,Portsmouth,South England and Wales,1,0,5,0,0,0,0,0,5,1,False,True,False,False,False,False,False
GRV,Gravesend,London,Greater London,5,6,13,0,2,0,3,1,25,5,True,True,False,True,False,True,True
FLT,Feltham,London,Greater London,4,7,4,0,0,3,0,0,14,3,True,True,False,False,True,False,False
ROM,Romford,London,Greater London,6,13,9,1,0,0,0,0,23,3,True,True,True,False,False,False,False
GGW,Glasgow West,Glasgow,Ireland and Scotland,8,16,14,0,0,6,0,0,36,3,True,True,False,False,True,False,False
KEA,Kearsley,Manchester,North England,4,6,8,0,0,6,3,1,24,5,True,True,False,False,True,True,True
ILB,Inch and Liberton,Edinburgh,Ireland and Scotland,2,4,4,0,0,0,0,0,8,2,True,True,False,False,False,False,False
WBCH,West Bromwich,Birmingham,North England,7,17,9,0,0,6,0,0,32,3,True,True,False,False,True,False,False
GFK,Giffnock,Glasgow,Ireland and Scotland,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
BRO,Bromley,London,Greater London,5,16,4,0,0,0,0,0,20,2,True,True,False,False,False,False,False
LBR,London Bridge,London,Core London,16,31,13,7,8,3,6,1,69,7,True,True,True,True,True,True,True
PECN,Peckham North,London,Core London,4,7,0,3,3,0,3,0,16,4,True,False,True,True,False,True,False
SVB,Severn Beach,Bristol,South England and Wales,4,11,4,0,0,6,0,0,21,3,True,True,False,False,True,False,False
NPS,Neepsend,Sheffield,North England,2,0,9,0,0,0,0,0,9,1,False,True,False,False,False,False,False
YO01,YO01,York,North England,1,0,5,0,0,0,0,0,5,1,False,True,False,False,False,False,False
WVR,Waverley,Camberley,Greater London,3,5,8,0,0,0,3,1,17,4,True,True,False,False,False,True,True
EDC,Edinburgh Central,Edinburgh,Ireland and Scotland,5,20,4,0,0,0,0,0,24,2,True,True,False,False,False,False,False
LEA,Leatherhead,London,Greater London,5,10,9,0,0,0,0,0,19,2,True,True,False,False,False,False,False
EPP,Epping,London,Greater London,2,0,4,0,0,3,0,0,7,2,False,True,False,False,True,False,False
SLE,Sale,Manchester,North England,4,6,8,0,0,6,3,1,24,5,True,True,False,False,True,True,True
PNTH,Penarth,Cardiff,South England and Wales,5,9,8,0,0,6,3,1,27,5,True,True,False,False,True,True,True
NORW,Norwich West,Norwich,South England and Wales,6,14,13,0,0,0,3,1,31,4,True,True,False,False,False,True,True
RH01,RH01,Crawley,Greater London,3,5,8,0,0,0,3,1,17,4,True,True,False,False,False,True,True
LSEA,Leeds Southeast,Leeds,North England,8,21,14,0,0,6,3,1,45,5,True,True,False,False,True,True,True
LUL,Lullingstone,London,Greater London,1,2,0,0,0,0,0,0,2,1,True,False,False,False,False,False,False
LUT,Luton,London,Greater London,2,3,4,0,0,0,0,0,7,2,True,True,False,False,False,False,False
PTF,Pontefract,Leeds,North England,1,4,0,0,0,0,0,0,4,1,True,False,False,False,False,False,False
OTT,Ottershaw,London,Greater London,3,14,0,0,0,0,0,0,14,1,True,False,False,False,False,False,False
BRM,Birmingham,Birmingham,North England,10,19,13,0,2,9,3,1,47,6,True,True,False,True,True,True,True
POT,Potters Bar,London,Greater London,4,4,9,3,0,0,0,0,16,3,True,True,True,False,False,False,False
DDY,Dudley,Birmingham,North England,2,4,5,0,0,0,0,0,9,2,True,True,False,False,False,False,False
PO04,PO04,Portsmouth,South England and Wales,4,9,8,0,0,0,3,1,21,4,True,True,False,False,False,True,True
PEM,Pembury,Royal Tunbridge Wells,Greater London,6,17,8,0,0,0,3,1,29,4,True,True,False,False,False,True,True
SPRK,Sparkbrook,Birmingham,North England,7,16,8,0,2,3,3,1,33,6,True,True,False,True,True,True,True
HBAM,Holbeck and Armley,Leeds,North England,4,13,4,0,0,6,3,1,27,5,True,True,False,False,True,True,True
WTH,Witham,Chelmsford,South England and Wales,4,6,13,0,0,0,3,1,23,4,True,True,False,False,False,True,True
STK,Stockport/Heaton Moor,Manchester,North England,3,5,4,0,0,0,0,0,9,2,True,True,False,False,False,False,False
