ZONE_NAME,CITY_NAME,DINNEROO_PARTNER_COUNT,DINNEROO_CUISINE_COUNT,TOTAL_DINNEROO_ORDERS,CUISINES_AVAILABLE,order_count,avg_rating,rating_count,unique_dishes,score_cuisine,score_partners,score_dishes,score_performance,score_quality,composite_score,rank
Sutton,London,4,2,66,"italian, sushi",101,4.125,8.0,106,2,4,8,4,6,49.0,107
Chislehurst,London,1,1,113,thai,192,4.461538461538462,39.0,79,1,1,6,7,8,48.0,108
Woking,London,2,2,74,"Salads, italian",114,4.333333333333333,15.0,107,2,1,8,4,8,47.5,109
Maida Vale / Kilburn,London,2,2,215,"Asian, Chicken",301,4.081632653061225,49.0,94,2,1,6,7,6,47.0,110
Dublin City South,Dublin,3,3,6,"Family favourites, Healthy Eating 2025, Middle Eastern",93,4.823529411764706,17.0,43,4,2,4,4,10,46.0,111
Esher,London,2,2,79,"italian, thai",143,4.666666666666667,18.0,97,2,1,6,4,10,45.5,112
Upminster,London,2,2,71,"italian, thai",126,4.178571428571429,28.0,100,2,1,8,4,6,44.5,113
Weybridge,London,2,2,107,"italian, thai",172,3.869565217391304,23.0,95,2,1,6,7,4,44.0,114
Leavesden and Abbots Langley,London,1,1,84,Asian,123,4.785714285714286,14.0,65,1,1,6,4,10,43.5,115
Dulwich,London,1,1,43,italian,71,4.666666666666667,9.0,60,1,1,6,4,10,43.5,116
Morningside,Edinburgh,1,1,30,italian,51,5.0,7.0,51,1,1,6,4,10,43.5,117
Barnet,London,1,1,36,italian,50,5.0,3.0,56,1,1,6,4,10,43.5,118
Twickenham / Teddington,London,3,2,75,"Tacos, italian",106,3.7777777777777777,18.0,145,2,2,8,4,4,43.0,119
Eltham,London,2,2,36,"Asian, italian",57,4.384615384615385,13.0,67,2,1,6,4,8,42.5,120
Wood Green,London,2,2,94,"Asian, sushi",123,4.375,24.0,70,2,1,6,4,8,42.5,121
Welwyn Garden City,London,2,2,72,"italian, thai",121,4.473684210526316,19.0,98,2,1,6,4,8,42.5,122
Warwick,Coventry,2,2,28,"italian, thai",50,4.375,8.0,65,2,1,6,4,8,42.5,123
Edgware / Mill Hill,London,3,3,79,"Kosher, Organic, italian",95,3.8333333333333335,12.0,91,4,2,6,4,4,42.0,124
South Pollok,Glasgow,1,1,61,japanese,96,4.473684210526316,19.0,71,1,1,6,4,8,40.5,125
Beckenham,London,1,1,37,italian,65,4.357142857142857,14.0,55,1,1,6,4,8,40.5,126
Staines,London,1,1,102,japanese,142,4.454545454545454,22.0,62,1,1,6,4,8,40.5,127
Poole,Bournemouth,2,2,36,"italian, sushi",70,4.166666666666667,6.0,75,2,1,6,4,6,39.5,128
Tonbridge,Royal Tunbridge Wells,2,2,29,"Asian, italian",56,4.0,4.0,66,2,1,6,4,6,39.5,129
Eastbourne,Brighton,2,2,26,"Burgers, italian",40,4.285714285714286,7.0,75,2,1,6,4,6,39.5,130
Dundrum,Dublin,2,2,46,"italian, japanese",107,4.176470588235294,17.0,90,2,1,6,4,6,39.5,131
Palmers Green / Southgate,London,2,2,73,"Asian, italian",101,4.285714285714286,14.0,76,2,1,6,4,6,39.5,132
Sidcup,London,2,2,52,"Asian, italian",74,4.2,10.0,59,2,1,6,4,6,39.5,133
Hunts Cross,Liverpool,2,2,47,"italian, japanese",61,4.0,10.0,69,2,1,6,4,6,39.5,134
Raynes Park,London,2,1,37,italian,58,5.0,5.0,46,1,1,4,4,10,38.5,135
