dish_clean,total_orders,kid_total,kid_friendly_measured,adult_total,adult_appeal_measured,portion_total,portion_flexibility_measured,value_at_25_measured,balanced_measured
"chicken berry britannia, black dall, masala paratha, warm aubergine chutney",1,,,1.0,5.0,1.0,5.0,5.0,
"chicken berry, chicken biryani",1,,,1.0,5.0,1.0,5.0,,5.0
chicken biriani and black lentil,1,,,1.0,5.0,1.0,5.0,,5.0
chicken biriani and daal,1,1.0,5.0,1.0,5.0,1.0,5.0,,
"chicken biriani, daal, rice, poppadoms, garlic naan",1,,,1.0,5.0,1.0,5.0,5.0,
chicken biriyani,1,,,1.0,5.0,1.0,5.0,,
"chicken biriyani, black daal, naan bread",1,,,1.0,5.0,1.0,5.0,,
chicken biryani and house black daal,1,,,1.0,5.0,1.0,1.0,,
chicken biryani dal makhai,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
"chicken biryani, daal, raita, papad",1,,,1.0,5.0,1.0,5.0,,
chicken boxes and falafel,1,,,1.0,5.0,1.0,5.0,5.0,
chicken briyani,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
chicken byriani for family,1,,,1.0,5.0,1.0,5.0,5.0,5.0
chicken catsu,2,,,2.0,5.0,2.0,5.0,,
chicken coconut and lemongrass curry,1,1.0,5.0,1.0,5.0,1.0,5.0,,
chicken coconut curry,1,,,1.0,5.0,1.0,1.0,5.0,5.0
chicken coconut milk curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
chicken curry,3,,,3.0,5.0,3.0,5.0,5.0,1.0
chicken curry and  daal,1,1.0,5.0,1.0,1.0,1.0,1.0,,
chicken curry and dhal,1,,,1.0,5.0,1.0,5.0,5.0,
chicken curry and rice,1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
chicken curry with rice,1,,,1.0,5.0,1.0,5.0,5.0,
"chicken curry, beef ,curry, and chicken fried rice x2",1,,,1.0,5.0,1.0,5.0,,
"chicken curry, beef brisket curry, fried rice",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"chicken curry, beef brisket curry, prawn crackers, egg fried rice, noodles",1,,,1.0,5.0,1.0,5.0,5.0,5.0
"chicken curry, beef curry, chicken noodles and chicken egg fried rice",1,,,1.0,5.0,1.0,5.0,5.0,
"chicken curry, beef curry, chicken pho & chicken noodles",1,,,1.0,5.0,1.0,1.0,,
"chicken curry, beef curry, egg fried rice, wok fried noodles with chicken, crispy spring rolls",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"chicken curry, rice and veg",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"chicken curry, rice, dahl, poppadoms",1,,,1.0,5.0,1.0,5.0,5.0,
"chicken egg fried rice, and thai rice bowl",1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,
chicken fajitas,2,2.0,5.0,2.0,5.0,2.0,5.0,,2.0
chicken family meal,1,,,1.0,5.0,1.0,5.0,5.0,5.0
"chicken fried rice, chicken noodle soup & chicken thigh rice",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
chicken green thai curry,1,,,1.0,1.0,1.0,1.0,,
chicken katsu,25,18.0,3.0,25.0,5.0,25.0,5.0,2.0,
chicken katsu and stir fry greens,1,1.0,5.0,1.0,5.0,1.0,5.0,,
chicken katsu currey,1,1.0,1.0,1.0,1.0,1.0,5.0,,
chicken katsu curry,24,13.0,4.0,24.0,4.0,24.0,3.0,2.0,1.0
chicken katsu curry and some sushi,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
chicken katsu curry bowl,1,,,1.0,5.0,1.0,5.0,5.0,
chicken katsu curry family portion,1,,,1.0,5.0,1.0,5.0,5.0,
chicken katsu curry for the family,1,,,1.0,5.0,1.0,1.0,5.0,
chicken katsu curry with rice,1,1.0,5.0,1.0,5.0,1.0,5.0,,
chicken katsu family and chicken chile ramen,1,1.0,5.0,1.0,1.0,1.0,5.0,5.0,
chicken katsu family bundle,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
chicken katsu family meal,5,3.0,5.0,5.0,5.0,5.0,3.0,3.0,
"chicken katsu, beef brisket pho",1,,,1.0,5.0,1.0,1.0,5.0,
"chicken katsu, firecracker chicken, teriyaki chicken",1,1.0,5.0,1.0,5.0,1.0,1.0,5.0,
"chicken katsu, rice and greens",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"chicken katsu, teriyaki tofu, teriyaki chicken",1,,,1.0,5.0,1.0,5.0,,
"chicken katsu, tofu teriyaki",1,,,1.0,5.0,1.0,5.0,5.0,5.0
chicken kutsu curry,1,,,1.0,5.0,1.0,5.0,5.0,
chicken lemongrass curry,1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
chicken lemongrass curry rice,1,1.0,1.0,1.0,5.0,1.0,1.0,,
chicken meal,2,2.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0
chicken mix and match deal,1,,,1.0,5.0,1.0,5.0,5.0,5.0
"chicken noodle (kids), chicken stir fry (kids), chicken pho, beef pho",1,,,1.0,1.0,1.0,5.0,,
chicken nuggests kids meals and chicken rice boxes,1,1.0,1.0,1.0,5.0,1.0,5.0,,5.0
"chicken pad kra pao, moo ping, massaman curry",1,,,1.0,5.0,1.0,5.0,5.0,
chicken pad thai,2,,,2.0,5.0,2.0,5.0,5.0,
"chicken phi, wok fried noodles with chicken and chicken + prawn fried rice, pork spring rolls",1,,,1.0,5.0,1.0,5.0,,
chicken pho,1,,,,,,,,5.0
"chicken pho noodles, chicken and egg fried rice",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
"chicken pho, beef pho, chicken and rice, chicken noodles",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"chicken pho, beef pho, chicken noodle soup, chicken fried rice",1,,,1.0,5.0,1.0,5.0,5.0,
"chicken pho, beef pho, kids chicken fried noodle, kids chicken fried rice",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0
"chicken pho, brisket pho, spring rolls, chicken curry dish",1,,,1.0,5.0,1.0,5.0,5.0,
"chicken pho, spicy tofu & mushroom pho, egg fried rice, tofu noodles",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"chicken phosoup, beef pho soup, chicken fried rice, wok fried tofu and mushroom noodles plus extra dish ofmushroom and tofu noodles and chinese leaf",1,1.0,5.0,1.0,5.0,1.0,5.0,,
chicken platter,1,,,1.0,5.0,1.0,5.0,5.0,5.0
chicken rice bowl,1,,,1.0,1.0,1.0,5.0,,
"chicken rice boxes, falafel box, a kids chicken meal, peas and coleslaw",1,1.0,1.0,1.0,5.0,1.0,5.0,,
"chicken rice, chicken noodles",1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
"chicken rice, pho, noodle soup",1,1.0,5.0,1.0,5.0,1.0,5.0,,5.0
chicken ruby,20,5.0,3.0,20.0,5.0,20.0,4.0,2.0,
chicken ruby and black daahl,2,,,2.0,5.0,2.0,5.0,2.0,
chicken ruby and dal,2,,,2.0,5.0,2.0,5.0,5.0,2.0
chicken ruby and the £25 meal,1,,,1.0,5.0,1.0,5.0,5.0,
chicken ruby curry meal,1,,,1.0,5.0,1.0,5.0,5.0,
"chicken ruby dinner, samosas, sdalad",1,1.0,5.0,1.0,5.0,1.0,5.0,,
chicken ruby dinneroo,1,,,1.0,5.0,1.0,5.0,5.0,
chicken ruby family,2,1.0,1.0,2.0,5.0,2.0,1.0,,
chicken ruby family and monkfish curry,1,,,1.0,5.0,1.0,5.0,,
chicken ruby family deal,1,,,1.0,5.0,1.0,5.0,5.0,
chicken ruby family dinner,3,2.0,5.0,3.0,5.0,3.0,5.0,5.0,
chicken ruby family dinneroo,1,,,1.0,5.0,1.0,5.0,5.0,
chicken ruby for the family,1,,,1.0,5.0,1.0,5.0,5.0,
chicken ruby meal,2,1.0,5.0,2.0,5.0,2.0,5.0,2.0,
chicken ruby meal and also an extra garlic naan and crumble for dessert,1,,,1.0,5.0,1.0,1.0,5.0,
chicken ruby meal and chicken biyrani meal,1,1.0,5.0,1.0,5.0,1.0,5.0,,
chicken ruby murrary family offer,1,,,1.0,5.0,1.0,5.0,,
chicken ruby rice daal naan,1,,,1.0,5.0,1.0,5.0,5.0,
chicken ruby rice dal,1,,,1.0,5.0,1.0,5.0,5.0,
"chicken ruby, basmati rice, black dahl and popadoms",1,1.0,5.0,1.0,5.0,1.0,5.0,,
"chicken ruby, black daal, rice",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"chicken ruby, broccoli salad",1,,,1.0,5.0,1.0,5.0,5.0,
"chicken ruby, daal, rice, pau bhaji",1,1.0,5.0,1.0,5.0,1.0,5.0,5.0,
"chicken ruby, jackfruit",1,,,1.0,5.0,1.0,5.0,5.0,5.0
"chicken ruby, naan, daal",1,1.0,1.0,1.0,5.0,1.0,5.0,5.0,
"chicken salad, chicken thigh bowl, prawn crackers, mushroom and tofu soup",1,,,1.0,5.0,1.0,5.0,,5.0
"chicken salad, kids pho and kids chicken noodles",1,1.0,5.0,1.0,5.0,1.0,1.0,,
"chicken salad, rice bowl, 2 x noodles",1,,,1.0,5.0,1.0,5.0,5.0,5.0
chicken schwarma,1,,,1.0,5.0,1.0,5.0,5.0,
chicken shawarma,7,4.0,4.0,7.0,4.0,7.0,2.0,3.0,3.0
chicken shawarma dinneroo platter,2,1.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0
chicken shawarma family meal,1,,,1.0,5.0,1.0,5.0,5.0,5.0
"chicken shawarma meal, fries",1,1.0,5.0,1.0,1.0,1.0,1.0,5.0,
chicken shawarma platter,3,1.0,1.0,3.0,5.0,3.0,5.0,1.0,5.0
chicken shwarma,1,1.0,1.0,1.0,5.0,1.0,5.0,,5.0
chicken teriyaki and katsu,1,,,1.0,5.0,1.0,5.0,5.0,5.0
chicken teriyaki poke bowls & salmon tatare poke bowls,1,,,1.0,5.0,1.0,5.0,5.0,5.0
