response_id,source_file,dish_text_raw,mapped_dish_type,mapping_method,is_family_survey,child_reaction_values,is_full_and_happy,included_in_denominator
295,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pasta,Pasta,anna_map,False,,0,0
296,POST_ORDER_SURVEY-CONSOLIDATED.csv,Lasagna meal for 4,Lasagne,anna_map,False,,0,0
280,POST_ORDER_SURVEY-CONSOLIDATED.csv,Sushi,Sushi,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
299,POST_ORDER_SURVEY-CONSOLIDATED.csv,Noodles & Spicy Soup,Pho,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
300,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pizza and lasagna,Pizza,anna_map,True,"They ate all parts of the dish and were full and happy|They ate some parts of the dish, but not as much as I wanted",1,1
303,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu,Katsu,anna_map,True,They ate all parts of the dish and were full and happy,1,1
304,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu,Katsu,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
302,POST_ORDER_SURVEY-CONSOLIDATED.csv,Ruby curry,South Asian / Indian Curry,anna_map,True,"They ate some parts of the dish, but not as much as I wanted",0,1
308,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
307,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pad thai,Noodles,anna_map,False,,0,0
310,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Beef noodle soup, spicy chicken noodle soup, fried noodles, fried rice",Pho,anna_map,True,,0,0
309,POST_ORDER_SURVEY-CONSOLIDATED.csv,Multiple,,unmapped,False,,0,0
313,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,True,,0,0
312,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry family,Katsu,anna_map,True,They ate all parts of the dish and were full and happy,1,1
311,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Curry, dhal, rice",South Asian / Indian Curry,anna_map,True,"They ate some parts of the dish, but not as much as I wanted|They ate some parts of the dish, but not as much as I wanted",0,1
315,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Teryiaki chicken, firecracker chicken",Rice Bowl,anna_map,False,,0,0
314,POST_ORDER_SURVEY-CONSOLIDATED.csv,Yes,East Asian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy",1,1
317,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pizzas,Pizza,anna_map,False,,0,0
316,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Chargrilled chicken thigh with sticky rice, wok fried noodles, noodle soup x2",Rice Bowl,anna_map,True,They ate all parts of the dish and were full and happy,1,1
290,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu curry,Katsu,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
318,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Noodles, chicken and tofu",Noodles,anna_map,True,"They ate some parts of the dish, but not as much as I wanted",0,1
319,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Sticky chicken, pad thai, squid",Rice Bowl,anna_map,True,"They tried some parts but didn't eat much at all|They ate some parts of the dish, but not as much as I wanted",0,1
298,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
321,POST_ORDER_SURVEY-CONSOLIDATED.csv,Vegan margarita pizza and tomato pasta,Pizza,anna_map,False,,0,0
320,POST_ORDER_SURVEY-CONSOLIDATED.csv,Vegan katsu curry,Katsu,anna_map,True,They tried some parts but didn't eat much at all,0,1
322,POST_ORDER_SURVEY-CONSOLIDATED.csv,Macaroni and chicken,Pasta,anna_map,False,,0,0
324,POST_ORDER_SURVEY-CONSOLIDATED.csv,Ruby curry,South Asian / Indian Curry,anna_map,True,,0,0
325,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Pizza, pasta, salad",Pizza,anna_map,False,,0,0
327,POST_ORDER_SURVEY-CONSOLIDATED.csv,family meal,RIce Bowl,anna_map,False,,0,0
328,POST_ORDER_SURVEY-CONSOLIDATED.csv,Coconut milk chicken curry,East Asian Curry,anna_map,True,"They ate all parts of the dish and were full and happy|They ate some parts of the dish, but were full and happy",1,1
330,POST_ORDER_SURVEY-CONSOLIDATED.csv,Katsu Curry,Katsu,anna_map,False,,0,0
329,POST_ORDER_SURVEY-CONSOLIDATED.csv,chicken katsu,Katsu,anna_map,True,They ate all parts of the dish and were full and happy,1,1
331,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Chicken salad, kids pho and kids chicken noodles",Pho,keyword,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
332,POST_ORDER_SURVEY-CONSOLIDATED.csv,Fried rice,Fried Rice,anna_map,False,,0,0
333,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Chicken Ruby, black daal, rice",South Asian / Indian Curry,anna_map,True,"They ate some parts of the dish, but were full and happy|They ate some parts of the dish, but were full and happy",1,1
326,POST_ORDER_SURVEY-CONSOLIDATED.csv,Vegetarian,South Asian / Indian Curry,anna_map,True,"They ate some parts of the dish, but not as much as I wanted|They ate some parts of the dish, but not as much as I wanted",0,1
334,POST_ORDER_SURVEY-CONSOLIDATED.csv,Once I ordered Pad thai. Other time I ordered rice bowls,Noodles,anna_map,False,,0,0
306,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pizza garlic bread and lasagna,Pizza,anna_map,True,They ate all parts of the dish and were full and happy,1,1
336,POST_ORDER_SURVEY-CONSOLIDATED.csv,macaroni cheese,Pasta,anna_map,False,,0,0
335,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pad Thai,Noodles,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
337,POST_ORDER_SURVEY-CONSOLIDATED.csv,"Daal, Biryani, Samosas",Biryani,anna_map,False,,0,0
339,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pasta pizza dough ball's calamari,Pasta,anna_map,True,They ate all parts of the dish and were full and happy|They ate all parts of the dish and were full and happy,1,1
338,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pho and curries on separate occasions!,Pho,anna_map,True,,0,0
340,POST_ORDER_SURVEY-CONSOLIDATED.csv,Don't remember,,excluded,False,,0,0
341,POST_ORDER_SURVEY-CONSOLIDATED.csv,,,,False,,0,0
342,POST_ORDER_SURVEY-CONSOLIDATED.csv,Pad Thai (chicken and 1 tofu),Noodles,anna_map,True,They ate all parts of the dish and were full and happy,1,1
343,POST_ORDER_SURVEY-CONSOLIDATED.csv,GF Garlic Bread and Lasagna,Lasagne,anna_map,False,,0,0
