brand,item,cuisine,high_level_dish,granular_dish,protein
Xian Street Food,Sweet and Sour Chicken Family Meal,Asian,Rice Bowl,Sweet & Sour Rice Bowl,Chicken
Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal ( Honey Chicken (main) + Fried Rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),Asian,Rice Bowl,Other Rice Bowl,Chicken
Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal  ( Honey Chicken (main) + Fried Rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),Asian,Rice Bowl,Other Rice Bowl,Chicken
Xian Street Food,Sweet and Sour Chicken Family Meal (Sweet and Sour Chicken +  Boiled rice + Dumpling + 4 in 1),Asian,Rice Bowl,Sweet & Sour Rice Bowl,Chicken
Xian Street Food,Ultimate Tofu Platter (Crispy Tofu + Curry Tofu (main) + Boiled Rice + Tofu 4 in 1),Asian,Rice Bowl,Other Rice Bowl,Tofu
Xian Street Food,Honey Chicken and Stir Fry Veggie Family Meal (Honey Chicken (main) + Fried Rice + Stir-Fry Mixed Vegetables + 2 Veg Spring Rolls),Asian,Rice Bowl,Other Rice Bowl,Chicken
Xian Street Food,Honey Chicken Family Meal (Honey Chicken (main) + Curry Chicken + Fried Rice + Boiled Rice),Asian,Rice Bowl,Other Rice Bowl,Chicken
Xian Street Food,Honey Chicken Family Meal ( Honey Chicken (main) + Curry Chicken + Fried Rice + Boiled Rice ),Asian,Rice Bowl,Other Rice Bowl,Chicken
Zambrero UK,Family Rice Bowl Kit,Mexican,Burrito / Burrito Bowl,Burrito / Burrito Bowl,Beef Chicken
Zumuku,Rice Bowl - Salmon Teriyaki,Asian,Rice Bowl,Teriyaki Rice Bowl,Salmon
Zumuku,Rice Bowl - Chicken Teriyaki,Asian,Rice Bowl,Teriyaki Rice Bowl,Chicken
The Salad Project,The Caesar Family Style,Healthy,Grain Bowl,Grain Bowl,Chicken
The Salad Project,The GOAT Family Style,Healthy,Grain Bowl,Grain Bowl,Chicken
The Salad Project,The Satay Family Style,Healthy,Grain Bowl,Grain Bowl,Chicken
Bill's,Family Chicken Shawarma,Middle Eastern,Shawarma,Shawarma,Chicken
Bill's,Family Halloumi Shawarma,Middle Eastern,Shawarma,Shawarma,Halloumi
Bill's,Family Shiitake Mushroom Shawarma,Middle Eastern,Shawarma,Shawarma,Mushroom
Bill's,Family Shepherd's Pie,British,Shepherd's Pie,Shepherd's Pie,Beef
Chaska,Home-Style Butter Chicken Meal ( 16oz Butter Chicken 12oz Tadka Dal 1 Jeera Aloo and 2 Portion Fluffy Rice),Indian,South Asian / Indian Curry,Butter Chicken Curry,Chicken
Chaska,Veg Family Feast ( 16oz paneer labaabdaar 12oz dal tadka 1 jeera aloo and 2 portion rice),Indian,South Asian / Indian Curry,Other Curry,Paneer
Dishoom,Dishoom Chicken Ruby - for the family,Indian,South Asian / Indian Curry,Other Curry,Chicken
Dishoom,Dishoom Mattar Paneer - for the family,Indian,South Asian / Indian Curry,Mattar Paneer Curry,Paneer
Kricket,Butter Chicken,Indian,South Asian / Indian Curry,Butter Chicken Curry,Chicken
Kricket,Keralan Prawn,Indian,South Asian / Indian Curry,Other Curry,Prawn
Kricket,Matar Paneer,Indian,South Asian / Indian Curry,Mattar Paneer Curry,Paneer
Saravana Bhavan,Saravana Bhavan Family Bundle,Indian,South Asian / Indian Curry,Other Curry,Paneer
