BRAND,ITEM_NAME,ITEM_DESCRIPTION
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
Bella Italia,Chicken Alfredo Family Bundle,"A family favourite for four! Roasted chicken and rigatoni pasta in a rich, creamy alfredo sauce. (Serves 2 adults and 2 kids)We provide allergen information on our website at https://menus.tenkites.com/thebigtg/bellaitaliadelivery"
