zone,zone_code,region,city,large_city,partners,cuisines_count,total_dishes,asian_dishes,italian_dishes,indian_dishes,healthy_dishes,mexican_dishes,middle_eastern_dishes,british_dishes,orders,avg_rating,cuisines_available,essential_cuisine_coverage,missing_essential_cuisines,missing_recommended_cuisines,dish_coverage,is_mvp,mvp_criteria_met,recruitment_priority
Canterbury,CAN,South England and Wales,Canterbury,South East England,7,5,36,13,13,0,0,6,3,1,626,4.158730158730159,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,True,4,Low
Glasgow Centre,GLC,Ireland and Scotland,Glasgow,Scotland,7,3,31,16,9,0,0,6,0,0,607,4.5476190476190474,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,True,3,Low
Windsor,WIN,Greater London,London,Commuter Belt North,8,4,38,16,18,0,0,0,3,1,604,4.298701298701299,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,True,3,Low
Cheltenham,CHE,South England and Wales,Cheltenham,South West and Wales,5,2,21,12,9,0,0,0,0,0,600,4.378378378378378,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,True,3,Low
Salford,SAL,North England,Manchester,North West England,9,3,43,26,14,0,0,3,0,0,591,4.257425742574258,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,True,3,Low
Croydon,CRO,Greater London,London,OL South,4,2,15,6,9,0,0,0,0,0,591,4.2894736842105265,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",71%,False,1,High
Basingstoke,BAS,South England and Wales,Reading,South East England,3,3,14,4,4,0,0,6,0,0,562,3.8333333333333335,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",67%,False,0,High
"Victoria, Westminster, Pimlico",VWP,Core London,London,CL Corporate,13,6,56,18,16,4,14,0,3,1,551,4.633333333333334,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['Mexican', 'Chinese']",100%,True,4,Low
Leeds City Centre,LC,North England,Leeds,North East and Yorkshire,9,5,49,21,18,0,0,6,3,1,547,4.521739130434782,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,True,4,Low
Royal Tunbridge Wells,RTW,Greater London,Royal Tunbridge Wells,Commuter Belt South,7,4,31,19,8,0,0,0,3,1,546,4.4363636363636365,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,True,3,Low
Colchester,CLC,South England and Wales,Colchester,South East England,4,4,21,9,8,0,0,0,3,1,546,4.597014925373134,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,2,High
Cardiff,CAR,South England and Wales,Cardiff,South West and Wales,7,5,37,14,13,0,0,6,3,1,544,4.571428571428571,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,True,4,Low
Southampton,SOU,South England and Wales,Southampton,South West and Wales,7,5,37,9,18,0,0,6,3,1,533,4.288888888888889,"['Japanese/Asian', 'Italian', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Healthy/Fresh', 'Chinese']",100%,True,4,Low
Dalston Stoke Newington,DAL,Core London,London,CL Grow,18,6,66,32,4,10,14,3,3,0,525,4.426470588235294,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Mexican', 'Middle Eastern']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['British', 'Chinese']",100%,True,4,Low
Southsea,SSEA,South England and Wales,Portsmouth,South West and Wales,9,3,40,20,14,0,0,6,0,0,517,4.180327868852459,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,True,3,Low
Bromley,BRO,Greater London,London,OL South,5,2,20,16,4,0,0,0,0,0,517,3.8135593220338984,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",95%,False,1,High
Sheffield City Centre,SCC,North England,Sheffield,North East and Yorkshire,4,2,18,9,9,0,0,0,0,0,508,4.267605633802817,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",86%,False,1,High
Horsham,HOR,Greater London,Crawley,Commuter Belt South,4,4,21,9,8,0,0,0,3,1,490,4.409090909090909,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",100%,False,2,High
Romford,ROM,Greater London,London,Commuter Belt North,6,3,23,13,9,1,0,0,0,0,489,4.43859649122807,"['Japanese/Asian', 'Italian', 'Indian']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,True,3,Low
Brixton,BRX,Core London,London,CL Grow,12,7,53,23,8,7,8,3,3,1,437,4.5,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Mexican', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']",['Chinese'],100%,True,4,Low
Watford,WAT,Greater London,London,Commuter Belt North,4,3,17,7,4,0,0,6,0,0,430,4.357142857142857,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",81%,False,1,High
Edinburgh North,EDN,Ireland and Scotland,Edinburgh,Scotland,5,2,24,20,4,0,0,0,0,0,422,4.4324324324324325,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,True,3,Low
Stevenage,STEV,Greater London,London,Commuter Belt North,5,2,21,12,9,0,0,0,0,0,421,4.523076923076923,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,True,3,Low
Greenwich,GRE,Greater London,London,OL South,11,6,52,31,8,4,5,0,3,1,380,4.487804878048781,"['Japanese/Asian', 'Italian', 'Indian', 'Healthy/Fresh', 'Middle Eastern', 'British']",60%,"['Vietnamese', 'Thai/Southeast Asian']","['Mexican', 'Chinese']",100%,True,4,Low
Dartford,DRT,Greater London,London,Commuter Belt South,7,6,33,8,13,0,2,6,3,1,378,4.102564102564102,"['Japanese/Asian', 'Italian', 'Healthy/Fresh', 'Mexican', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']",['Chinese'],100%,True,4,Low
Camberley,CMB,Greater London,Camberley,Commuter Belt South,5,3,22,7,9,0,0,6,0,0,374,3.972972972972973,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,False,2,High
Liverpool City Centre,LIV,North England,Liverpool,North West England,4,3,20,9,5,0,0,6,0,0,372,4.2926829268292686,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",95%,False,1,High
Farnham,FARN,Greater London,Camberley,Commuter Belt South,3,4,17,5,8,0,0,0,3,1,368,4.673076923076923,"['Japanese/Asian', 'Italian', 'Middle Eastern', 'British']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['Mexican', 'Healthy/Fresh', 'Chinese']",81%,False,1,High
Easton,ESTN,South England and Wales,Bristol,South West and Wales,7,3,34,19,9,0,0,6,0,0,364,4.375,"['Japanese/Asian', 'Italian', 'Mexican']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",100%,True,3,Low
Enfield,ENF,Greater London,London,Commuter Belt North,4,2,15,6,9,0,0,0,0,0,352,3.8679245283018866,"['Japanese/Asian', 'Italian']",40%,"['Vietnamese', 'Indian', 'Thai/Southeast Asian']","['British', 'Mexican', 'Healthy/Fresh', 'Middle Eastern', 'Chinese']",71%,False,0,High
