BRAND,ITEM_NAME,cuisine,dish_type,ITEM_DESCRIPTION
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍛🍜Mix n Match Rice Bowl Bundle For Four🍛🍜,Thai/Southeast Asian,Japanese,"Build your perfect family feast with any combo of our bold rice bowls – Firecracker Chicken, Teriyaki Chicken or Tofu, Katsu (Chicken or Vegan). Four bowls, endless flavour possibilities – where will you start?"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
Banana Tree,🍜Pad Thai Bundle For Four🍜,Thai/Southeast Asian,Thai,"Four portions of our iconic Pad Thai – wok-fired noodles with your choice of Chicken, Tofu, Prawn, or a mix of Chicken & Prawn. Sweet, savoury, tangy and utterly slurpable. Our founders’ Mother’s recipe from over 30 years ago. Will feed four hungry eaters!"
