cuisine,non_dinneroo_orders,unique_customers,avg_order_value,dinneroo_available,gap_signal,filter_applied,filter_rationale
Organic,24,11,30.59,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Great for lunch,24,20,27.51,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Project Love - August,24,15,48.12,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Great British Bake Off,23,10,20.3,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Unilever Esports,22,18,26.37,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Falafel,22,16,27.72,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Biryani,22,19,30.38,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Romanian,22,15,29.09,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Tapas,21,17,35.73,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
New Customer 20% off Watford,21,15,38.16,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Ethiopian,21,13,30.48,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Project Love - December,19,13,30.83,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Convenience,19,17,23.24,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Tip Match,19,14,38.11,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
All Day Breakfast,18,14,39.91,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
June Free Delivery Weekend,18,7,18.53,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Plus Offers September,18,18,27.36,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Takeaways,18,15,29.71,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
French,18,18,34.98,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Western,18,15,25.45,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Bangladeshi,17,15,35.83,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Deliveroo Editions,16,13,56.27,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
"Stationary, Cards & Books",15,15,33.11,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
April Free Delivery weekend,15,12,27.78,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Free Delivery (UK),15,10,20.92,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Hardware & Maintenance,14,14,29.54,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Peruvian,14,11,32.23,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Sichuan Spicy,14,9,33.96,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Alcohol stores,13,9,23.47,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Flowers,13,13,63.88,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Filipino,12,11,32.48,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Polish,12,8,30.2,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Health Conscious,12,11,19.0,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Protein Shops,12,6,26.64,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
South African,12,1,28.73,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Up to 50% off holiday essentials,11,4,31.32,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Plus offers Oct 2024,10,9,29.74,Yes,Available,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Fish,10,10,35.18,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Bento,10,9,28.92,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Roast,10,7,42.41,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
Chopstix LNY,10,10,19.1,No,Low,Mon-Thu 16:30-21:00,Dinneroo is 98% midweek dinner orders
